Team,First Name,Last Name,Salary,Position,,,Salary,,,,,,,,,,,,,Salary
Tampa Bay Devil Rays,Joe,Kennedy,"300,000",Pitcher,,,,,,,,,,,,,,,,
Tampa Bay Devil Rays,Travis,Lee,"500,000",First Baseman,,,,,,,,,,,,,,,,
Tampa Bay Devil Rays,Al,Martin,"300,000",Outfielder,,,,,,,,,,,,,,,,
Tampa Bay Devil Rays,Seth,McClung,"300,000",Pitcher,,,,,,,,,,,,,,,,
Tampa Bay Devil Rays,Rey,Ordonez,"6,500,000",Shortstop,,,,,,,,,,,,,,,,
Tampa Bay Devil Rays,Jim,Parque,"400,000",Pitcher,,,,,,,,,,,,,,,,
Tampa Bay Devil Rays,Steve,Parris,"400,000",Pitcher,,,,,,,,,,,,,,,,
Tampa Bay Devil Rays,Damian,Rolls,"300,000",Third Baseman,,,,,,,,,,,,,,,,
Tampa Bay Devil Rays,Bobby,Seay,"300,000",Pitcher,,,,,,,,,,,,,,,,
Tampa Bay Devil Rays,Terry,Shumpert,"300,000",Second Baseman,,,,,,,,,,,,,,,,
Tampa Bay Devil Rays,Jorge,Sosa,"300,000",Pitcher,,,,,,,,,,,,,,,,
Tampa Bay Devil Rays,Javier,Valentin,"300,000",Catcher,,,,,,,,,,,,,,,,
Tampa Bay Devil Rays,Mike,Venafro,"300,000",Pitcher,,,,,,,,,,,,,,,,
Tampa Bay Devil Rays,Victor,Zambrano,"300,000",Pitcher,,,,,,,,,,,,,,,,
Kansas City Royals,Jeremy,Affeldt,"313,000",Pitcher,,,,,,,,,,,,,,,,
Kansas City Royals,Miguel,Asencio,"314,000",Pitcher,,,,,,,,,,,,,,,,
Kansas City Royals,Carlos,Beltran,"6,000,000",Outfielder,,,,,,,,,,,,,,,,
Kansas City Royals,Grandon,Berger,"304,000",Outfielder,,,,,,,,,,,,,,,,
Kansas City Royals,Angel,Berroa,"302,000",Shortstop,,,,,,,,,,,,,,,,
Kansas City Royals,Dermal,Brown,"309,500",Outfielder,,,,,,,,,,,,,,,,
Kansas City Royals,Ryan,Bukvich,"304,500",Pitcher,,,,,,,,,,,,,,,,
Kansas City Royals,DJ,Carrasco,"300,000",Pitcher,,,,,,,,,,,,,,,,
Kansas City Royals,Mike,Difelice,"625,000",Catcher,,,,,,,,,,,,,,,,
Kansas City Royals,Carlos,Febles,"775,000",Second Baseman,,,,,,,,,,,,,,,,
Kansas City Royals,Chris,George,"303,500",Pitcher,,,,,,,,,,,,,,,,
Kansas City Royals,Jason,Grimsley,"2,000,000",Pitcher,,,,,,,,,,,,,,,,
Kansas City Royals,Ken,Harvey,"300,000",First Baseman,,,,,,,,,,,,,,,,
Kansas City Royals,Runelvys,Hernandez,"305,500",Pitcher,,,,,,,,,,,,,,,,
Kansas City Royals,Raul,Ibanez,"3,000,000",Outfielder,,,,,,,,,,,,,,,,
Kansas City Royals,Rontrez,Johnson,"300,000",Outfielder,,,,,,,,,,,,,,,,
Kansas City Royals,Albie,Lopez,"1,500,000",Pitcher,,,,,,,,,,,,,,,,
Kansas City Royals,Mendy,Lopez,"300,000",Shortstop,,,,,,,,,,,,,,,,
Kansas City Royals,Mike,MacDougal,"301,000",Pitcher,,,,,,,,,,,,,,,,
Kansas City Royals,Darrell,May,"450,000",Pitcher,,,,,,,,,,,,,,,,
Kansas City Royals,Brent,Mayne,"2,750,000",Catcher,,,,,,,,,,,,,,,,
Kansas City Royals,Joe,Randa,"4,500,000",Third Baseman,,,,,,,,,,,,,,,,
Kansas City Royals,Desi,Relaford,"900,000",Shortstop,,,,,,,,,,,,,,,,
Kansas City Royals,Mike,Sweeney,"11,000,000",First Baseman,,,,,,,,,,,,,,,,
Kansas City Royals,Michael,Tucker,"2,750,000",Outfielder,,,,,,,,,,,,,,,,
Kansas City Royals,Kris,Wilson,"311,000",Pitcher,,,,,,,,,,,,,,,,
Minnesota Twins,Michael,Cuddyer,"302,500",Outfielder,,,,,,,,,,,,,,,,
Minnesota Twins,Mike,Fetters,"500,000",Pitcher,,,,,,,,,,,,,,,,
Minnesota Twins,Tony,Fiore,"330,000",Pitcher,,,,,,,,,,,,,,,,
Minnesota Twins,Chris,Gomez,"500,000",Shortstop,,,,,,,,,,,,,,,,
Minnesota Twins,Eddie,Guardado,"2,700,000",Pitcher,,,,,,,,,,,,,,,,
Minnesota Twins,Cristian,Guzman,"2,525,000",Shortstop,,,,,,,,,,,,,,,,
Minnesota Twins,Latroy,Hawkins,"3,000,000",Pitcher,,,,,,,,,,,,,,,,
Minnesota Twins,Denny,Hocking,"1,000,000",Second Baseman,,,,,,,,,,,,,,,,
Minnesota Twins,Torii,Hunter,"4,750,000",Outfielder,,,,,,,,,,,,,,,,
Minnesota Twins,Jacque,Jones,"2,750,000",Outfielder,,,,,,,,,,,,,,,,
Minnesota Twins,Bobby,Kielty,"325,000",Outfielder,,,,,,,,,,,,,,,,
Minnesota Twins,Corey,Koskie,"3,400,000",Third Baseman,,,,,,,,,,,,,,,,
Minnesota Twins,Matt,Lecroy,"312,500",Catcher,,,,,,,,,,,,,,,,
Minnesota Twins,Kyle,Lohse,"330,000",Pitcher,,,,,,,,,,,,,,,,
Minnesota Twins,Joe,Mays,"4,150,000",Pitcher,,,,,,,,,,,,,,,,
Minnesota Twins,Doug,Mientkiewicz,"1,750,000",First Baseman,,,,,,,,,,,,,,,,
Minnesota Twins,Eric,Milton,"6,000,000",Pitcher,,,,,,,,,,,,,,,,
Minnesota Twins,Dustan,Mohr,"315,000",Outfielder,,,,,,,,,,,,,,,,
Minnesota Twins,AJ,Pierzynski,"365,000",Catcher,,,,,,,,,,,,,,,,
Minnesota Twins,Tom,Prince,"450,000",Catcher,,,,,,,,,,,,,,,,
Minnesota Twins,Brad,Radke,"8,750,000",Pitcher,,,,,,,,,,,,,,,,
Minnesota Twins,Rick,Reed,"8,000,000",Pitcher,,,,,,,,,,,,,,,,
Minnesota Twins,Luis,Rivas,"340,000",Second Baseman,,,,,,,,,,,,,,,,
Minnesota Twins,Kenny,Rogers,"2,000,000",Pitcher,,,,,,,,,,,,,,,,
Minnesota Twins,JC,Romero,"325,000",Pitcher,,,,,,,,,,,,,,,,
Minnesota Twins,Johan,Santana,"335,000",Pitcher,,,,,,,,,,,,,,,,
Chicago White Sox,Jr,Alomar,"700,000",Catcher,,,,,,,,,,,,,,,,
Chicago White Sox,Mark,Buehrle,"445,000",Pitcher,,,,,,,,,,,,,,,,
Chicago White Sox,Bartolo,Colon,"8,250,000",Pitcher,,,,,,,,,,,,,,,,
Chicago White Sox,Joe,Crede,"315,000",Third Baseman,,,,,,,,,,,,,,,,
Chicago White Sox,Brian,Daubach,"450,000",First Baseman,,,,,,,,,,,,,,,,
Chicago White Sox,Jon,Garland,"375,000",Pitcher,,,,,,,,,,,,,,,,
Chicago White Sox,Gary,Glover,"330,000",Pitcher,,,,,,,,,,,,,,,,
